#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.
1,Fly,Brian Finnegan,2010-09-12,128,51,45,-9,33,8:14,61,31
2,viola,eevee,2016-12-01,78,11,65,-16,19,1:27,97,59
3,Jefferson's Shadow,Dryjacket,2015-02-10,145,91,46,-6,55,3:11,0,31
4,I Like It,Enrique Iglesias,2010-01-01,129,94,66,-3,73,3:52,3,63
5,Girls Chase Boys,Ingrid Michaelson,2014-04-15,85,82,47,-6,68,3:41,3,58
6,in your arms,Saib,2018-03-08,143,28,74,-17,76,4:38,70,57
7,Hills and Horizons,Fujitsu,2018-06-19,138,41,93,-14,69,2:05,44,59
8,Alejandro,Lady Gaga,2009-01-01,99,78,64,-7,34,4:34,0,41
9,Bad Girls,M.I.A.,2013-01-01,143,92,64,-3,36,3:48,0,69
10,Psychopomps,Old Blind Dogs,2010-09-07,97,58,31,-11,69,4:15,54,12
11,Rose in the Gap,John McSherry,2006-04-17,118,59,35,-6,50,4:34,13,10
12,Highlander's Farewell to Ireland / Farewell to Ireland / O'er the Water to Charlie / Highlander's Farewell - Version Info,Alasdair Fraser,2011-03-15,108,63,36,-5,61,7:31,71,33
13,Leckan Mór,Lúnasa,2014-07-15,128,53,46,-10,49,4:24,22,25
14,Valley of the Moon Reel,Alasdair Fraser,2007-12-14,122,48,50,-10,69,4:01,51,19
15,Nanking Road - Instrumental,The Shanghai Restoration Project,2006-10-24,115,66,82,-6,55,3:40,2,35
16,m i s t,eevee,2017-05-01,130,23,63,-16,39,1:58,36,57
17,Yu Garden,Saib,2016-04-22,173,64,59,-6,78,3:39,3,38
18,All Of Us,Fakear,2016-12-02,114,73,85,-7,21,4:09,14,37
19,Derail,Yellowbase,2018-04-13,85,73,63,-8,45,3:00,1,53
20,Connor Main Theme - Connor,Nima Fakhrara,2018-06-22,97,44,29,-13,19,8:54,68,45
21,Shanghai Nights,Saib,2016-04-22,94,54,67,-9,36,4:24,44,54
22,This Head I Hold,Electric Guest,2012-09-10,162,87,66,-5,96,2:56,3,7
23,From Night to Morning,Antologie,2017-02-23,94,14,15,-19,4,3:19,97,59
24,m'Lover,Kishi Bashi,2016-09-16,190,83,49,-7,70,3:49,61,49
25,Petrichor,Alarmist,2015-11-02,75,57,40,-7,38,3:14,33,34
26,Aap Sahaaee Hoa (Clear Blocks to Prosperity),Nirinjan Kaur,2014-12-01,140,31,52,-13,27,8:33,60,45
27,Theme from Poldark,Anne Dudley,2015-06-05,102,49,36,-7,24,0:44,68,28
28,Rock Your Body,Justin Timberlake,2002-11-04,101,71,89,-6,82,4:27,20,74
29,Get Ur Freak On,Missy Elliott,2001-05-14,178,75,80,-9,74,3:31,53,74
30,Fuck You,Lily Allen,2009-01-26,130,90,78,-4,84,3:40,3,66
31,Can't Get You Out of My Head,Kylie Minogue,2002-02-08,126,56,77,-8,96,3:51,3,58
32,Animal I Have Become,Three Days Grace,2006-06-25,122,85,55,-4,51,3:51,0,74
33,I Hate Everything About You,Three Days Grace,2007-12-25,89,83,50,-5,45,3:51,0,75
34,Headstrong,Trapt,2002-11-05,185,90,49,-6,53,4:46,0,75
35,Do Your Thing,*NSYNC,2001-07-24,130,68,69,-9,96,4:20,30,34
36,Bye Bye Bye,*NSYNC,2000-03-21,173,93,61,-5,86,3:20,3,73
37,It's Gonna Be Me,*NSYNC,2000-03-21,165,87,64,-5,91,3:12,4,67
38,Space Cowboy (Yippie-Yi-Yay),*NSYNC,2000-03-21,114,98,71,-3,70,4:21,1,46
39,Just Got Paid,*NSYNC,2000-03-21,115,77,81,-4,70,4:09,1,48
40,It Makes Me Ill,*NSYNC,2000-03-21,105,86,81,-5,65,3:26,1,47
41,This I Promise You,*NSYNC,2000-03-21,166,59,55,-6,47,4:45,35,69
42,No Strings Attached,*NSYNC,2000-03-21,111,97,67,-4,63,3:49,0,47
43,Digital Get Down,*NSYNC,2000-03-21,178,98,64,-4,87,4:23,1,41
44,Bringin' Da Noise,*NSYNC,2000-03-21,113,97,49,-5,87,3:30,5,39
45,That's When I'll Stop Loving You,*NSYNC,2000-03-21,142,68,52,-5,41,4:52,34,39
46,I'll Be Good For You,*NSYNC,2000-03-21,100,73,70,-6,83,3:55,20,37
47,I Thought She Knew,*NSYNC,2000-03-21,79,27,38,-10,21,3:22,92,40
48,Beijinho no Ombro,Valesca Popozuda,2013-07-22,132,73,86,-4,81,2:45,17,52
49,Ainda Bem,Vanessa Da Mata,2004,133,48,63,-8,13,4:29,21,43
50,Eu Sou Neguinha?,Vanessa Da Mata,2004,80,65,70,-7,72,3:48,44,44
